verdict	leverage	occurrences	fanin	type	java_class	category	source	note
ACCEPT	12	20	249	MemBuffer		graph?	manual	read-only abstraction over where bytes/values come from, with lazy combinators that compose at runtime (union/intersection/difference/cached views) -- Rust's io::Read/Index shape; the implementations exist precisely to be substituted. Decided 2026-08-09.
STRUCT	11	54	0	AssemblyResolvedPatterns		graph?	promoted	inheritance chain, not alternatives: DefaultWildAssemblyResolvedPatterns extend(s) DefaultAssemblyResolvedPatterns. Java subclassing for reuse has no Rust translation -- port DefaultAssemblyResolvedPatterns as a concrete type and let the others embed it
STRUCT	11	40	0	AssemblyResolution		graph?	promoted	inheritance chain, not alternatives: DefaultWildAssemblyResolvedPatterns extend(s) DefaultAssemblyResolvedPatterns. Java subclassing for reuse has no Rust translation -- port DefaultAssemblyResolvedPatterns as a concrete type and let the others embed it
ENUM	11	39	0	MdMangLike		graph?	promoted	small closed set: 5 Java subtypes
STRUCT	10	46	0	PluginTool		graph?	promoted	inheritance chain, not alternatives: TestFrontEndTool extend(s) FrontEndTool. Java subclassing for reuse has no Rust translation -- port FrontEndTool as a concrete type and let the others embed it
STRUCT	10	36	0	TraceObject		graph?	promoted	one concrete Java implementer (DBTraceObject) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
ARENA	10	20	1471	DataTypeManager		graph?	manual	Doc names it an arena type; Phase 2 (fan-in 1471).
STRUCT	10	20	0	TraceNamespaceSymbol		graph?	promoted	inheritance chain, not alternatives: DBTraceClassSymbol extend(s) DBTraceNamespaceSymbol. Java subclassing for reuse has no Rust translation -- port DBTraceNamespaceSymbol as a concrete type and let the others embed it
TODO	10	16	12	Pattern	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/pattern/Pattern.java	graph?	evidence	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/pattern/Pattern.java: shape_rules R12-abstract-pure says trait -- needs a human (a trait's verdict depends on its implementer set, and a struct_trait split is a port task rather than a convention)
TODO	10	16	12	Pattern	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/slghpattern/Pattern.java	graph?	evidence	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/slghpattern/Pattern.java: shape_rules R12-abstract-pure says trait -- needs a human (a trait's verdict depends on its implementer set, and a struct_trait split is a port task rather than a convention)
TODO	9	30	0	TraceAddressSnapRange		graph?	evidence	19 Java subtypes -- too many for an enum; needs a human call (genuine open set -> ACCEPT, or graph type -> ARENA/GRAPH)
ARENA	9	28	234	DomainObject		graph?	manual	core program-model object: has identity, is mutated over its lifetime, referenced from many places. Same family as the Program/Listing/DataTypeManager/Function/Data/Symbol arena types in OWNERSHIP_MIGRATION.md convention 1 -- CodeUnit is literally Data's parent. Decided 2026-08-09.
ACCEPT	9	27	0	PcodeExecutorState		graph?	manual	the caller, a plugin or a processor spec supplies the implementation (userop libraries, inject payloads, settings definitions, assembly solvers, trace-object mixins, task bodies, location kinds). Implementers spread across 2-4 top-level areas; `dyn` is the idiomatic Rust answer. Decided 2026-08-09.
ENUM	9	25	0	HighSymbol		graph?	promoted	small closed set: 7 Java subtypes
STRUCT	9	13	376	CompilerSpec		graph?	promoted	inheritance chain, not alternatives: ProgramCompilerSpec extend(s) BasicCompilerSpec. Java subclassing for reuse has no Rust translation -- port BasicCompilerSpec as a concrete type and let the others embed it
ARENA	8	45	1010	Variable		graph?	manual	core program-model object: has identity, is mutated over its lifetime, referenced from many places. Same family as the Program/Listing/DataTypeManager/Function/Data/Symbol arena types in OWNERSHIP_MIGRATION.md convention 1 -- CodeUnit is literally Data's parent. Decided 2026-08-09.
TODO	8	20	0	VtMarkupType		graph?	evidence	9 Java subtypes -- too many for an enum; needs a human call (genuine open set -> ACCEPT, or graph type -> ARENA/GRAPH)
TODO	8	17	0	DBHandle		graph?	evidence	DBHandle is already a concrete type (1 declaration(s)), not a trait -- it is here because a shared cell (Rc<RefCell<DBHandle>> / Arc<Mutex<DBHandle>>) reaches it. That is an ownership question (OWNERSHIP_MIGRATION.md conventions 1 and 3: arena + typed Copy ID, or snapshot+transaction for DB objects), not a trait convention, so no verdict in this queue answers it
ACCEPT	8	17	0	ProgramLocation		graph?	manual	the caller, a plugin or a processor spec supplies the implementation (userop libraries, inject payloads, settings definitions, assembly solvers, trace-object mixins, task bodies, location kinds). Implementers spread across 2-4 top-level areas; `dyn` is the idiomatic Rust answer. Decided 2026-08-09.
STRUCT	8	16	0	AssemblyGrammar		graph?	promoted	Java declares AssemblyGrammar as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (2 Rust impls notwithstanding)
TODO	8	16	0	Lock		graph?	evidence	this port models the JDK's Lock; the Lock in orig_src is an unrelated Ghidra class of the same simple name, so Java's shape here says nothing
ARENA	8	16	504	Reference		graph?	manual	core program-model object: has identity, is mutated over its lifetime, referenced from many places. Same family as the Program/Listing/DataTypeManager/Function/Data/Symbol arena types in OWNERSHIP_MIGRATION.md convention 1 -- CodeUnit is literally Data's parent. Decided 2026-08-09.
WAIT-PORT	7	54	0	TraceSchedule		graph?	derived	Java declares TraceSchedule as a class with no subtypes, so a concrete type is the right end state -- but TraceSchedule is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
TODO	7	29	0	PatternEquationOps		graph?	evidence	no Java type named PatternEquationOps -- an abstraction the port invented, so Java says nothing about its shape
STRUCT	7	26	0	ProjectLocator		graph?	promoted	Java declares ProjectLocator a class with one subclass (TransientProjectStorageLocator) -- inheritance for reuse, not polymorphism; port ProjectLocator as a concrete type and let TransientProjectStorageLocator embed it
ACCEPT	7	21	436	ByteProvider		open-extension	family	[family:Provider] Caller/plugin supplies the implementation (byte sources, component providers, script providers). Open set.
SUGGEST-STRUCT	7	17	0	VtMarkupItem		graph?	suggest	one concrete Java implementer (its single implementer) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
ENUM	7	16	0	TraceObjectSchema		graph?	promoted	small closed set: 2 Java subtypes
STRUCT	7	13	19	Constructor	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/Constructor.java	graph?	promoted	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/Constructor.java: shape_rules R14-concrete-class says struct
STRUCT	7	13	19	Constructor	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/slghsymbol/Constructor.java	graph?	promoted	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/slghsymbol/Constructor.java: shape_rules R14-concrete-class says struct
ACCEPT	7	12	25	ProcessorContextView		graph?	manual	read-only abstraction over where bytes/values come from, with lazy combinators that compose at runtime (union/intersection/difference/cached views) -- Rust's io::Read/Index shape; the implementations exist precisely to be substituted. Decided 2026-08-09.
STRUCT	7	11	0	MdObjectCpp		graph?	promoted	Java declares MdObjectCpp a class with one subclass (its single implementer) -- inheritance for reuse, not polymorphism; port MdObjectCpp as a concrete type and let its single implementer embed it
STRUCT	7	7	0	TraceStackFrame		graph?	promoted	one concrete Java implementer (DBTraceStackFrame) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
STRUCT	6	37	0	GFile		graph?	promoted	one concrete Java implementer (GFileImpl) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
STRUCT	6	36	336	DomainFolder		graph?	promoted	inheritance chain, not alternatives: RootGhidraFolder extend(s) GhidraFolder. Java subclassing for reuse has no Rust translation -- port GhidraFolder as a concrete type and let the others embed it
SUGGEST-ACCEPT	6	29	0	Stringable		graph?	suggest	reaches an extension-point supertype in orig_src -- open by design, so `dyn` is the right tool (10 concrete implementers)
STRUCT	6	27	0	TraceSymbol		graph?	promoted	inheritance chain, not alternatives: DBTraceClassSymbol extend(s) DBTraceNamespaceSymbol. Java subclassing for reuse has no Rust translation -- port DBTraceNamespaceSymbol as a concrete type and let the others embed it
ARENA	6	26	1134	Data		graph?	manual	Doc names it an arena type.
ENUM	6	25	0	CodeBlock		graph?	promoted	small closed set: 2 Java subtypes
ENUM	6	25	0	FolderItem		graph?	promoted	small closed set: 7 Java subtypes
WAIT-PORT	6	18	0	AssemblyPatternBlock		graph?	derived	Java declares AssemblyPatternBlock as a class with no subtypes, so a concrete type is the right end state -- but AssemblyPatternBlock is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
STRUCT	6	18	136	ExternalLocation		graph?	promoted	one concrete Java implementer (ExternalLocationDB) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
WAIT-PORT	6	17	0	ItemCheckoutStatus		graph?	derived	Java declares ItemCheckoutStatus as a class with no subtypes, so a concrete type is the right end state -- but ItemCheckoutStatus is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
STRUCT	6	17	0	TraceProgramView		graph?	promoted	inheritance chain, not alternatives: DBTraceVariableSnapProgramView extend(s) DBTraceProgramView. Java subclassing for reuse has no Rust translation -- port DBTraceProgramView as a concrete type and let the others embed it
STRUCT	6	14	0	HighFunction		graph?	promoted	Java declares HighFunction as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
WAIT-PORT	6	13	26	PatternValue		graph?	derived	Java declares PatternValue as a class with no subtypes, so a concrete type is the right end state -- but PatternValue is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
ARENA	6	11	1009	Listing		graph?	manual	Doc names it an arena type; Phase 2 (fan-in 1009).
TODO	6	10	0	AddressMapDB		graph?	evidence	AddressMapDB is already a concrete type (1 declaration(s)), not a trait -- it is here because a shared cell (Rc<RefCell<AddressMapDB>> / Arc<Mutex<AddressMapDB>>) reaches it. That is an ownership question (OWNERSHIP_MIGRATION.md conventions 1 and 3: arena + typed Copy ID, or snapshot+transaction for DB objects), not a trait convention, so no verdict in this queue answers it
STRUCT	6	10	44	InstructionPrototype		graph?	promoted	null-object pattern: InvalidPrototype exist(s) only to stand in for 'no InstructionPrototype'. Rust spells that `Option<InstructionPrototype>` -- port SleighInstructionPrototype as the concrete type and delete the placeholder variant
TODO	6	10	0	Table		graph?	evidence	Table is already a concrete type (1 declaration(s)), not a trait -- it is here because a shared cell (Rc<RefCell<Table>> / Arc<Mutex<Table>>) reaches it. That is an ownership question (OWNERSHIP_MIGRATION.md conventions 1 and 3: arena + typed Copy ID, or snapshot+transaction for DB objects), not a trait convention, so no verdict in this queue answers it
STRUCT	6	7	0	MdQualification		graph?	promoted	Java declares MdQualification as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
SUGGEST-STRUCT	6	7	0	VTSession		graph?	suggest	null-object pattern: EmptyVTSession exist(s) only to stand in for 'no VTSession'. Rust spells that `Option<VTSession>` -- port VTSessionDB as the concrete type and delete the placeholder variant
ARENA	5	52	422	MemoryBlock		graph?	promoted	same domain concept with different storage backings (DBTraceProgramViewMemoryRegionBlock, DBTraceProgramViewMemorySpaceBlock, MemoryBlockDB). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
STRUCT	5	37	0	TraceObjectValue		graph?	promoted	one concrete Java implementer (DBTraceObjectValue) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
STRUCT	5	31	0	ValidatableLine		graph?	promoted	inheritance chain, not alternatives: EmptyDataTypeLine extend(s) DataTypeLine. Java subclassing for reuse has no Rust translation -- port DataTypeLine as a concrete type and let the others embed it
STRUCT	5	21	264	ToolTemplate		graph?	promoted	inheritance chain, not alternatives: FrontEndToolTemplate extend(s) GhidraToolTemplate. Java subclassing for reuse has no Rust translation -- port GhidraToolTemplate as a concrete type and let the others embed it
WAIT-PORT	5	14	0	VTSessionDB		graph?	derived	Java declares VTSessionDB as a class with no subtypes, so a concrete type is the right end state -- but VTSessionDB is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
TODO	5	13	0	MdParsableItemLike		graph?	evidence	110 Java subtypes -- too many for an enum; needs a human call (genuine open set -> ACCEPT, or graph type -> ARENA/GRAPH)
STRUCT	5	13	0	TimeRadix		graph?	promoted	Java declares TimeRadix as a enum and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (1 Rust impls notwithstanding)
STRUCT	5	13	0	ToolOptions		graph?	promoted	Java declares ToolOptions a class with one subclass (VTOptions) -- inheritance for reuse, not polymorphism; port ToolOptions as a concrete type and let VTOptions embed it
ENUM	5	12	0	AbstractAssemblyResolutionFactory		open-extension	promoted	small closed set: 2 Java subtypes
ENUM	5	12	0	AssemblyNonTerminal		graph?	promoted	small closed set: 2 Java subtypes
WAIT-PORT	5	11	0	DBTraceObject		graph?	derived	Java declares DBTraceObject as a class with no subtypes, so a concrete type is the right end state -- but DBTraceObject is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
STRUCT	5	11	386	Options		graph?	promoted	inheritance chain, not alternatives: VTOptions extend(s) ToolOptions. Java subclassing for reuse has no Rust translation -- port ToolOptions as a concrete type and let the others embed it
ARENA	5	9	150	AddressMap		graph?	promoted	same domain concept with different storage backings (AddressMapDB, FactoryBasedAddressMap). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
TODO	5	9	0	BufferMgr		graph?	evidence	BufferMgr is already a concrete type (1 declaration(s)), not a trait -- it is here because a shared cell (Rc<RefCell<BufferMgr>> / Arc<Mutex<BufferMgr>>) reaches it. That is an ownership question (OWNERSHIP_MIGRATION.md conventions 1 and 3: arena + typed Copy ID, or snapshot+transaction for DB objects), not a trait convention, so no verdict in this queue answers it
ACCEPT	5	9	0	FileSystemListener		open-extension	family	[family:Listener] Caller-supplied callback -- a genuine open-ended extension point, which OWNERSHIP_MIGRATION.md explicitly carves out for `dyn`.
STRUCT	5	9	318	LanguageDescription		graph?	promoted	inheritance chain, not alternatives: SleighLanguageDescription extend(s) BasicLanguageDescription. Java subclassing for reuse has no Rust translation -- port BasicLanguageDescription as a concrete type and let the others embed it
STRUCT	5	9	284	Project		graph?	promoted	inheritance chain, not alternatives: PyGhidraProject extend(s) DefaultProject. Java subclassing for reuse has no Rust translation -- port DefaultProject as a concrete type and let the others embed it
WAIT-PORT	5	7	0	DBTrace		graph?	derived	Java declares DBTrace as a class with no subtypes, so a concrete type is the right end state -- but DBTrace is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
ACCEPT	5	6	0	ManagedBufferFile		graph?	promoted	ManagedBufferFileAdapter wrap another implementation, so the wrapper genuinely has to hold something polymorphic -- `dyn` (or a generic parameter) is the right tool here, not an enum
STRUCT	5	6	0	MdStringLike		graph?	promoted	Java declares MdStringLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	5	5	0	MdFragmentNameLike		graph?	promoted	Java declares MdFragmentNameLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	5	5	0	PcodeMachine		graph?	promoted	inheritance chain, not alternatives: CSpecTestPCodeEmulator, JitPcodeEmulator extend(s) PcodeEmulator. Java subclassing for reuse has no Rust translation -- port PcodeEmulator as a concrete type and let the others embed it
STRUCT	5	5	0	RepositoryServerAdapter		open-extension	promoted	Java declares RepositoryServerAdapter as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (4 Rust impls notwithstanding)
STRUCT	5	5	19	VarnodeTpl	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/template/VarnodeTpl.java	graph?	promoted	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/template/VarnodeTpl.java: shape_rules R14-concrete-class says struct
STRUCT	5	5	19	VarnodeTpl	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/semantics/VarnodeTpl.java	graph?	promoted	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/semantics/VarnodeTpl.java: shape_rules R14-concrete-class says struct
STRUCT	4	32	0	GDirectedGraph		graph?	promoted	inheritance chain, not alternatives: DataExplorationGraph, FunctionCallGraph, FunctionGraph, SampleGraph extend(s) JungDirectedGraph. Java subclassing for reuse has no Rust translation -- port JungDirectedGraph as a concrete type and let the others embed it
TODO	4	32	0	IteratorStl		graph?	evidence	18 Java subtypes -- too many for an enum; needs a human call (genuine open set -> ACCEPT, or graph type -> ARENA/GRAPH)
WAIT-PORT	4	31	0	AssemblyResolutionResults		graph?	derived	Java declares AssemblyResolutionResults as a class with no subtypes, so a concrete type is the right end state -- but AssemblyResolutionResults is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
STRUCT	4	27	0	TraceMemoryRegion		graph?	promoted	one concrete Java implementer (DBTraceMemoryRegion) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
STRUCT	4	24	0	MdExceptionLike		graph?	promoted	Java declares MdExceptionLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (1 Rust impls notwithstanding)
ENUM	4	23	0	Step		graph?	promoted	small closed set: 3 Java subtypes
STRUCT	4	16	0	Fsrl		graph?	promoted	Java declares Fsrl a class with one subclass (its single implementer) -- inheritance for reuse, not polymorphism; port Fsrl as a concrete type and let its single implementer embed it
ACCEPT	4	16	0	PcodeExecutorStatePiece		graph?	manual	the caller, a plugin or a processor spec supplies the implementation (userop libraries, inject payloads, settings definitions, assembly solvers, trace-object mixins, task bodies, location kinds). Implementers spread across 2-4 top-level areas; `dyn` is the idiomatic Rust answer. Decided 2026-08-09.
STRUCT	4	15	0	TraceObjectValPath		graph?	promoted	one concrete Java implementer (DBTraceObjectValPath) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
TODO	4	14	0	MdDataTypeLike		graph?	evidence	46 Java subtypes -- too many for an enum; needs a human call (genuine open set -> ACCEPT, or graph type -> ARENA/GRAPH)
ITER	4	13	994	AddressRangeIterator		graph?	family	[family:Iterator] Delete the custom trait; implement std::Iterator<Item=T>. Callers take the concrete type or `impl Iterator`; a genuinely heterogeneous collection (e.g. a merge over one iterator per search category) uses Box<dyn Iterator<Item=T>>, which is idiomatic Rust and already excluded from debt scoring -- the erased type is std::Iterator itself. `has_next` has no replacement method: use Peekable to look without consuming, or `while let Some(x) = it.next()`. Worked example: searchtext/iterators/search_address_iterator.rs + listing_display_search_address_iterator.rs.
STRUCT	4	13	0	PluginDescription		graph?	promoted	Java declares PluginDescription as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	4	12	0	PrototypeModel		graph?	promoted	null-object pattern: PrototypeModelError exist(s) only to stand in for 'no PrototypeModel'. Rust spells that `Option<PrototypeModel>` -- port PrototypeModelMerged as the concrete type and delete the placeholder variant
ARENA	4	10	1061	CodeUnit		graph?	manual	core program-model object: has identity, is mutated over its lifetime, referenced from many places. Same family as the Program/Listing/DataTypeManager/Function/Data/Symbol arena types in OWNERSHIP_MIGRATION.md convention 1 -- CodeUnit is literally Data's parent. Decided 2026-08-09.
SUGGEST-ENUM	4	10	0	JitVal		graph?	suggest	small closed set: 8 Java subtypes
ENUM	4	10	0	PathFilter		open-extension	promoted	small closed set: 2 Java subtypes
STRUCT	4	10	280	ProjectData		graph?	promoted	inheritance chain, not alternatives: TransientProjectData extend(s) DefaultProjectData. Java subclassing for reuse has no Rust translation -- port DefaultProjectData as a concrete type and let the others embed it
STRUCT	4	9	0	AddressKeyIteratorLike		graph?	promoted	Java declares AddressKeyIteratorLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (1 Rust impls notwithstanding)
WAIT-PORT	4	9	0	AssemblyConstructorSemantic		graph?	derived	Java declares AssemblyConstructorSemantic as a class with no subtypes, so a concrete type is the right end state -- but AssemblyConstructorSemantic is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
STRUCT	4	9	0	AssemblyProduction		graph?	promoted	Java declares AssemblyProduction a class with one subclass (WildAssemblyProduction) -- inheritance for reuse, not polymorphism; port AssemblyProduction as a concrete type and let WildAssemblyProduction embed it
STRUCT	4	9	0	ConstructState	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/ConstructState.java	graph?	promoted	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/ConstructState.java: shape_rules R14-concrete-class says struct
STRUCT	4	9	0	ConstructState	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/context/ConstructState.java	graph?	promoted	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/context/ConstructState.java: shape_rules R14-concrete-class says struct
STRUCT	4	9	0	FileBytes		graph?	promoted	Java declares FileBytes as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	4	9	0	PluginLike		graph?	promoted	Java declares PluginLike as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (0 Rust impls notwithstanding)
STRUCT	4	9	0	RepositoryAdapter		open-extension	promoted	Java declares RepositoryAdapter as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (3 Rust impls notwithstanding)
WAIT-PORT	4	8	0	AssemblyNumericSymbols		graph?	derived	Java declares AssemblyNumericSymbols as a class with no subtypes, so a concrete type is the right end state -- but AssemblyNumericSymbols is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
ACCEPT	4	8	0	LanguageTranslator		graph?	promoted	reaches an extension-point supertype in orig_src -- open by design, so `dyn` is the right tool (2 concrete implementers)
